bucket,type,name,link,srcUrl,stars,forks,commits,releases,contributors,openIssues,stackoverflowQuestions,language,description,excerpt
tech-trigger,js-library,Hood.ie,http://hood.ie/,https://github.com/hoodiehq/hoodie.js,1643,100,1749,82,,63,5,JavaScript,hoodie super power to the frontend!,"an Offline First and noBackend architecture for frontend-only apps on the web and on iOS. Build complete web apps in days, without having to worry about backends, databases or servers, all wü??"
tech-trigger,server-web-framework,Koa,http://koajs.com/,https://github.com/koajs/koa,6253,441,674,39,61,10,141,JavaScript,Expressive middleware for node.js using generators,"a web framework which aims to be a smaller, more expressive, and more robust foundation for web applications and APIs. "
tech-trigger,server-web-framework,Meteor,http://meteor.com/,https://github.com/meteor/meteor,25292,2850,14243,581,204,590,12117,JavaScript,"Meteor, an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",a modular platform for developing web and mobile applications in JavaScript based on the NodeJS platform.
tech-trigger,server-web-framework,Derby.js,http://derbyjs.com/,https://github.com/derbyjs/derby,3719,202,1654,117,24,47,88,JavaScript,"MVC framework making it easy to write realtime, collaborative applications that run in both Node.js and browsers","a full-stack JavaScript MVC framework with support for HTML templates, view bindings, model syncing, customizable persistence and conflict resolution."
inflated-expectations,client-web-framework,ReactJS-Flux,https://facebook.github.io/flux/,http://github.com/facebook/flux,6313,1140,220,2,60,40,279,JavaScript,Application Architecture for Building User Interfaces,the application architecture that Facebook uses for building client-side web applications with React. It complements React's composable view components by utilizing a unidirectional data flow.
inflated-expectations,js-library,ReactJS,https://facebook.github.io/react/,https://github.com/facebook/react,22683,3217,4464,27,410,547,3159,JavaScript,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",a JavaScript library for building user interfaces. It uses a declarative paradigm that makes it easier to reason about your application and aims to be both efficient and flexible.
inflated-expectations,server-web-framework,Spring Boot,http://projects.spring.io/spring-boot/,http://github.com/spring-projects/spring-boot,2159,2124,4622,39,152,439,0,Java,Spring Boot,
inflated-expectations,client-web-framework,Aurelia,http://aurelia.io/,https://github.com/aurelia/framework,3012,128,103,23,10,33,96,JavaScript,The aurelia framework brings together all the required core aurelia libraries into a ready-to-go application-building platform.,A next generation JavaScript client framework that leverages simple conventions to empower your creativity.
inflated-expectations,client-web-framework,Hapi,http://hapijs.com,https://github.com/hapijs/hapi,4263,460,4273,179,118,22,67,JavaScript,Server Framework  for Node.js,"HAPI (HL7 application programming interface; pronounced ""happy"") is an open-source, object-oriented HL7 2.x parser for Java."
inflated-expectations,client-web-framework,Mithril,https://lhorie.github.io/mithril/,http://github.com/lhorie/mithril.js,3566,272,1015,33,68,42,40,JavaScript,A Javascript Framework for Building Brilliant Applications (development repo),a client-side MVC framework.
inflated-expectations,server-web-framework,DropWizard,http://www.dropwizard.io/,https://github.com/dropwizard/dropwizard,3326,1377,3009,51,180,44,569,Java,A damn simple library for building production-ready RESTful web services.,"a Java framework for developing ops-friendly, high-performance, RESTful web services."
productivity-plateau,server-web-framework,ExpressJS,http://expressjs.com/,https://github.com/strongloop/express,19056,3820,5120,250,178,76,15071,JavaScript,"Fast, unopinionated, minimalist web framework for node.","a minimal and flexible Node.js web application framework, providing a robust set of features for building web applications."
